id,name,year
0,Iron Man (2008),2008
1,Iron Man 2 (2010),2010
2,Thor (2011),2011
3,Captain America: The First Avenger (2011),2011
4,The Avengers (2012),2012
5,Iron Man 3 (2013),2013
6,Thor: The Dark World (2013),2013
7,Captain America: The Winter Soldier (2014),2014
8,Guardians of the Galaxy (2014),2014
9,Avengers: Age of Ultron (2015),2015
10,Ant-Man (2015),2015
11,Captain America: Civil War (2016),2016
12,Doctor Strange (2016),2016
13,Guardians of the Galaxy Vol. 2 (2017),2017
14,Spider-Man: Homecoming (2017),2017
15,Thor: Ragnarok (2017),2017
16,Black Panther (2018),2018
17,Avengers: Infinity War (2018),2018
18,Ant-Man and the Wasp (2018),2018
19,Captain Marvel (2019),2019
20,Avengers: Endgame (2019),2019
21,Spider-Man: Far From Home (2019),2019
22,Black Widow (2021),2021
23,Shang-Chi and the Legend of the Ten Rings (2021),2021
24,Eternals (2021),2021
25,Spider-Man: No Way Home (2021),2021
26,Doctor Strange in the Multiverse of Madness (2022),2022
27,Thor: Love and Thunder (2022),2022
28,Black Panther: Wakanda Forever (2022),2022
29,Ant-Man and the Wasp: Quantumania (2023),2023
30,Guardians of the Galaxy Vol. 3 (2023),2023
31,The Marvels (2023),2023
32,Deadpool 3 (2024),2024
33,Captain America: Brave New World (2024),2024
34,Thunderbolts (2024),2024
35,Blade (2025),2025
36,Fantastic Four (2025),2025
37,Avengers: The Kang Dynasty (2025),2025
38,Avengers: Secret Wars (2026),2026
